,work_year,experience_level,experience_desc,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,role_category
40,2020,MI,Mid-level,FT,Data Scientist,45760,USD,45760.00,PH,100,US,S,Data Analysis
41,2020,EX,Executive-level,FT,Data Engineering Manager,70000,EUR,79833.00,ES,50,ES,L,Automation-Focused
42,2020,MI,Mid-level,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180.00,PT,0,PT,M,Other
43,2020,MI,Mid-level,FT,Data Engineer,106000,USD,106000.00,US,100,US,L,Automation-Focused
44,2020,MI,Mid-level,FT,Data Engineer,88000,GBP,112872.00,GB,50,GB,L,Automation-Focused
45,2020,EN,Entry-level,PT,ML Engineer,14000,EUR,15966.00,DE,100,DE,S,Automation-Focused
46,2020,MI,Mid-level,FT,Data Scientist,60000,GBP,76958.00,GB,100,GB,S,Data Analysis
47,2020,SE,Senior-level,FT,Data Engineer,188000,USD,188000.00,US,100,US,L,Automation-Focused
48,2020,MI,Mid-level,FT,Data Scientist,105000,USD,105000.00,US,100,US,L,Data Analysis
49,2020,MI,Mid-level,FT,Data Engineer,61500,EUR,70139.00,FR,50,FR,L,Automation-Focused
50,2020,EN,Entry-level,FT,Data Analyst,450000,INR,6072.00,IN,0,IN,S,Data Analysis
51,2020,EN,Entry-level,FT,Data Analyst,91000,USD,91000.00,US,100,US,L,Data Analysis
52,2020,EN,Entry-level,FT,AI Scientist,300000,DKK,45896.00,DK,50,DK,S,Other
53,2020,EN,Entry-level,FT,Data Engineer,48000,EUR,54742.00,PK,100,DE,L,Automation-Focused
54,2020,SE,Senior-level,FL,Computer Vision Engineer,60000,USD,60000.00,RU,100,US,S,Other
55,2020,SE,Senior-level,FT,Principal Data Scientist,130000,EUR,148261.00,DE,100,DE,M,Data Analysis
56,2020,MI,Mid-level,FT,Data Scientist,34000,EUR,38776.00,ES,100,ES,M,Data Analysis
57,2020,MI,Mid-level,FT,Data Scientist,118000,USD,118000.00,US,100,US,M,Data Analysis
58,2020,SE,Senior-level,FT,Data Scientist,120000,USD,120000.00,US,50,US,L,Data Analysis
59,2020,MI,Mid-level,FT,Data Scientist,138350,USD,138350.00,US,100,US,M,Data Analysis
60,2020,MI,Mid-level,FT,Data Engineer,110000,USD,110000.00,US,100,US,L,Automation-Focused
61,2020,MI,Mid-level,FT,Data Engineer,130800,USD,130800.00,ES,100,US,M,Automation-Focused
62,2020,EN,Entry-level,PT,Data Scientist,19000,EUR,21669.00,IT,50,IT,S,Data Analysis
63,2020,SE,Senior-level,FT,Data Scientist,412000,USD,412000.00,US,100,US,L,Data Analysis
64,2020,SE,Senior-level,FT,Machine Learning Engineer,40000,EUR,45618.00,HR,100,HR,S,Automation-Focused
65,2020,EN,Entry-level,FT,Data Scientist,55000,EUR,62726.00,DE,50,DE,S,Data Analysis
66,2020,EN,Entry-level,FT,Data Scientist,43200,EUR,49268.00,DE,0,DE,S,Data Analysis
67,2020,SE,Senior-level,FT,Data Science Manager,190200,USD,190200.00,US,100,US,M,Other
68,2020,EN,Entry-level,FT,Data Scientist,105000,USD,105000.00,US,100,US,S,Data Analysis
69,2020,SE,Senior-level,FT,Data Scientist,80000,EUR,91237.00,AT,0,AT,S,Data Analysis
70,2020,MI,Mid-level,FT,Data Scientist,55000,EUR,62726.00,FR,50,LU,S,Data Analysis
71,2020,MI,Mid-level,FT,Data Scientist,37000,EUR,42197.00,FR,50,FR,S,Data Analysis
72,2021,EN,Entry-level,FT,Research Scientist,60000,GBP,82528.00,GB,50,GB,L,Other
73,2021,EX,Executive-level,FT,BI Data Analyst,150000,USD,150000.00,IN,100,US,L,Data Analysis
74,2021,EX,Executive-level,FT,Head of Data,235000,USD,235000.00,US,100,US,L,Other
75,2021,SE,Senior-level,FT,Data Scientist,45000,EUR,53192.00,FR,50,FR,L,Data Analysis
76,2021,MI,Mid-level,FT,BI Data Analyst,100000,USD,100000.00,US,100,US,M,Data Analysis
77,2021,MI,Mid-level,PT,3D Computer Vision Researcher,400000,INR,5409.00,IN,50,IN,M,Other
78,2021,MI,Mid-level,CT,ML Engineer,270000,USD,270000.00,US,100,US,L,Automation-Focused
79,2021,EN,Entry-level,FT,Data Analyst,80000,USD,80000.00,US,100,US,M,Data Analysis
80,2021,SE,Senior-level,FT,Data Analytics Engineer,67000,EUR,79197.00,DE,100,DE,L,Other
81,2021,MI,Mid-level,FT,Data Engineer,140000,USD,140000.00,US,100,US,L,Automation-Focused
82,2021,MI,Mid-level,FT,Applied Data Scientist,68000,CAD,54238.00,GB,50,CA,L,Data Analysis
83,2021,MI,Mid-level,FT,Machine Learning Engineer,40000,EUR,47282.00,ES,100,ES,S,Automation-Focused
84,2021,EX,Executive-level,FT,Director of Data Science,130000,EUR,153667.00,IT,100,PL,L,Other
85,2021,MI,Mid-level,FT,Data Engineer,110000,PLN,28476.00,PL,100,PL,L,Automation-Focused
86,2021,EN,Entry-level,FT,Data Analyst,50000,EUR,59102.00,FR,50,FR,M,Data Analysis
87,2021,MI,Mid-level,FT,Data Analytics Engineer,110000,USD,110000.00,US,100,US,L,Other
88,2021,SE,Senior-level,FT,Lead Data Analyst,170000,USD,170000.00,US,100,US,L,Data Analysis
89,2021,SE,Senior-level,FT,Data Analyst,80000,USD,80000.00,BG,100,US,S,Data Analysis
90,2021,SE,Senior-level,FT,Marketing Data Analyst,75000,EUR,88654.00,GR,100,DK,L,Data Analysis
91,2021,EN,Entry-level,FT,Data Science Consultant,65000,EUR,76833.00,DE,100,DE,S,Other
92,2021,MI,Mid-level,FT,Lead Data Analyst,1450000,INR,19609.00,IN,100,IN,L,Data Analysis
93,2021,SE,Senior-level,FT,Lead Data Engineer,276000,USD,276000.00,US,0,US,L,Automation-Focused
94,2021,EN,Entry-level,FT,Data Scientist,2200000,INR,29751.00,IN,50,IN,L,Data Analysis
95,2021,MI,Mid-level,FT,Cloud Data Engineer,120000,SGD,89294.00,SG,50,SG,L,Automation-Focused
96,2021,EN,Entry-level,PT,AI Scientist,12000,USD,12000.00,BR,100,US,S,Other
97,2021,MI,Mid-level,FT,Financial Data Analyst,450000,USD,450000.00,US,100,US,L,Data Analysis
98,2021,EN,Entry-level,FT,Computer Vision Software Engineer,70000,USD,70000.00,US,100,US,M,Other
99,2021,MI,Mid-level,FT,Computer Vision Software Engineer,81000,EUR,95746.00,DE,100,US,S,Other
100,2021,MI,Mid-level,FT,Data Analyst,75000,USD,75000.00,US,0,US,L,Data Analysis
101,2021,SE,Senior-level,FT,Data Engineer,150000,USD,150000.00,US,100,US,L,Automation-Focused
102,2021,MI,Mid-level,FT,BI Data Analyst,11000000,HUF,36259.00,HU,50,US,L,Data Analysis
103,2021,MI,Mid-level,FT,Data Analyst,62000,USD,62000.00,US,0,US,L,Data Analysis
104,2021,MI,Mid-level,FT,Data Scientist,73000,USD,73000.00,US,0,US,L,Data Analysis
105,2021,MI,Mid-level,FT,Data Analyst,37456,GBP,51519.00,GB,50,GB,L,Data Analysis
106,2021,MI,Mid-level,FT,Research Scientist,235000,CAD,187442.00,CA,100,CA,L,Other
107,2021,SE,Senior-level,FT,Data Engineer,115000,USD,115000.00,US,100,US,S,Automation-Focused
108,2021,SE,Senior-level,FT,Data Engineer,150000,USD,150000.00,US,100,US,M,Automation-Focused
109,2021,EN,Entry-level,FT,Data Engineer,2250000,INR,30428.00,IN,100,IN,L,Automation-Focused
110,2021,SE,Senior-level,FT,Machine Learning Engineer,80000,EUR,94564.00,DE,50,DE,L,Automation-Focused
111,2021,SE,Senior-level,FT,Director of Data Engineering,82500,GBP,113476.00,GB,100,GB,M,Automation-Focused
112,2021,SE,Senior-level,FT,Lead Data Engineer,75000,GBP,103160.00,GB,100,GB,S,Automation-Focused
113,2021,EN,Entry-level,PT,AI Scientist,12000,USD,12000.00,PK,100,US,M,Other
114,2021,MI,Mid-level,FT,Data Engineer,38400,EUR,45391.00,NL,100,NL,L,Automation-Focused
115,2021,EN,Entry-level,FT,Machine Learning Scientist,225000,USD,225000.00,US,100,US,L,Other
116,2021,MI,Mid-level,FT,Data Scientist,50000,USD,50000.00,NG,100,NG,L,Data Analysis
117,2021,MI,Mid-level,FT,Data Science Engineer,34000,EUR,40189.00,GR,100,GR,M,Other
118,2021,EN,Entry-level,FT,Data Analyst,90000,USD,90000.00,US,100,US,S,Data Analysis
119,2021,MI,Mid-level,FT,Data Engineer,200000,USD,200000.00,US,100,US,L,Automation-Focused
120,2021,MI,Mid-level,FT,Big Data Engineer,60000,USD,60000.00,ES,50,RO,M,Automation-Focused
121,2021,SE,Senior-level,FT,Principal Data Engineer,200000,USD,200000.00,US,100,US,M,Automation-Focused
122,2021,EN,Entry-level,FT,Data Analyst,50000,USD,50000.00,US,100,US,M,Data Analysis
123,2021,EN,Entry-level,FT,Applied Data Scientist,80000,GBP,110037.00,GB,0,GB,L,Data Analysis
124,2021,EN,Entry-level,PT,Data Analyst,8760,EUR,10354.00,ES,50,ES,M,Data Analysis
125,2021,MI,Mid-level,FT,Principal Data Scientist,151000,USD,151000.00,US,100,US,L,Data Analysis
126,2021,SE,Senior-level,FT,Machine Learning Scientist,120000,USD,120000.00,US,50,US,S,Other
127,2021,MI,Mid-level,FT,Data Scientist,700000,INR,9466.00,IN,0,IN,S,Data Analysis
128,2021,EN,Entry-level,FT,Machine Learning Engineer,20000,USD,20000.00,IN,100,IN,S,Automation-Focused
129,2021,SE,Senior-level,FT,Lead Data Scientist,3000000,INR,40570.00,IN,50,IN,L,Data Analysis
130,2021,EN,Entry-level,FT,Machine Learning Developer,100000,USD,100000.00,IQ,50,IQ,S,Other
131,2021,EN,Entry-level,FT,Data Scientist,42000,EUR,49646.00,FR,50,FR,M,Data Analysis
132,2021,MI,Mid-level,FT,Applied Machine Learning Scientist,38400,USD,38400.00,VN,100,US,M,Other
133,2021,SE,Senior-level,FT,Computer Vision Engineer,24000,USD,24000.00,BR,100,BR,M,Other
134,2021,EN,Entry-level,FT,Data Scientist,100000,USD,100000.00,US,0,US,S,Data Analysis
135,2021,MI,Mid-level,FT,Data Analyst,90000,USD,90000.00,US,100,US,M,Data Analysis
136,2021,MI,Mid-level,FT,ML Engineer,7000000,JPY,63711.00,JP,50,JP,S,Automation-Focused
137,2021,MI,Mid-level,FT,ML Engineer,8500000,JPY,77364.00,JP,50,JP,S,Automation-Focused
138,2021,SE,Senior-level,FT,Principal Data Scientist,220000,USD,220000.00,US,0,US,L,Data Analysis
139,2021,EN,Entry-level,FT,Data Scientist,80000,USD,80000.00,US,100,US,M,Data Analysis
140,2021,MI,Mid-level,FT,Data Analyst,135000,USD,135000.00,US,100,US,L,Data Analysis
141,2021,SE,Senior-level,FT,Data Science Manager,240000,USD,240000.00,US,0,US,L,Other
142,2021,SE,Senior-level,FT,Data Engineering Manager,150000,USD,150000.00,US,0,US,L,Automation-Focused
143,2021,MI,Mid-level,FT,Data Scientist,82500,USD,82500.00,US,100,US,S,Data Analysis
144,2021,MI,Mid-level,FT,Data Engineer,100000,USD,100000.00,US,100,US,L,Automation-Focused
145,2021,SE,Senior-level,FT,Machine Learning Engineer,70000,EUR,82744.00,BE,50,BE,M,Automation-Focused
146,2021,MI,Mid-level,FT,Research Scientist,53000,EUR,62649.00,FR,50,FR,M,Other
147,2021,MI,Mid-level,FT,Data Engineer,90000,USD,90000.00,US,100,US,L,Automation-Focused
148,2021,SE,Senior-level,FT,Data Engineering Manager,153000,USD,153000.00,US,100,US,L,Automation-Focused
149,2021,SE,Senior-level,FT,Cloud Data Engineer,160000,USD,160000.00,BR,100,US,S,Automation-Focused
150,2021,SE,Senior-level,FT,Director of Data Science,168000,USD,168000.00,JP,0,JP,S,Other
151,2021,MI,Mid-level,FT,Data Scientist,150000,USD,150000.00,US,100,US,M,Data Analysis
152,2021,MI,Mid-level,FT,Data Scientist,95000,CAD,75774.00,CA,100,CA,L,Data Analysis
153,2021,EN,Entry-level,FT,Data Scientist,13400,USD,13400.00,UA,100,UA,L,Data Analysis
154,2021,SE,Senior-level,FT,Data Science Manager,144000,USD,144000.00,US,100,US,L,Other
155,2021,SE,Senior-level,FT,Data Science Engineer,159500,CAD,127221.00,CA,50,CA,L,Other
156,2021,MI,Mid-level,FT,Data Scientist,160000,SGD,119059.00,SG,100,IL,M,Data Analysis
157,2021,MI,Mid-level,FT,Applied Machine Learning Scientist,423000,USD,423000.00,US,50,US,L,Other
158,2021,SE,Senior-level,FT,Data Analytics Manager,120000,USD,120000.00,US,100,US,M,Other
159,2021,EN,Entry-level,FT,Machine Learning Engineer,125000,USD,125000.00,US,100,US,S,Automation-Focused
160,2021,EX,Executive-level,FT,Head of Data,230000,USD,230000.00,RU,50,RU,L,Other
161,2021,EX,Executive-level,FT,Head of Data Science,85000,USD,85000.00,RU,0,RU,M,Other
162,2021,MI,Mid-level,FT,Data Engineer,24000,EUR,28369.00,MT,50,MT,L,Automation-Focused
163,2021,EN,Entry-level,FT,Data Science Consultant,54000,EUR,63831.00,DE,50,DE,L,Other
164,2021,EX,Executive-level,FT,Director of Data Science,110000,EUR,130026.00,DE,50,DE,M,Other
165,2021,SE,Senior-level,FT,Data Specialist,165000,USD,165000.00,US,100,US,L,Other
166,2021,EN,Entry-level,FT,Data Engineer,80000,USD,80000.00,US,100,US,L,Automation-Focused
167,2021,EX,Executive-level,FT,Director of Data Science,250000,USD,250000.00,US,0,US,L,Other
168,2021,EN,Entry-level,FT,BI Data Analyst,55000,USD,55000.00,US,50,US,S,Data Analysis
169,2021,MI,Mid-level,FT,Data Architect,150000,USD,150000.00,US,100,US,L,Other
170,2021,MI,Mid-level,FT,Data Architect,170000,USD,170000.00,US,100,US,L,Other
171,2021,MI,Mid-level,FT,Data Engineer,60000,GBP,82528.00,GB,100,GB,L,Automation-Focused
172,2021,EN,Entry-level,FT,Data Analyst,60000,USD,60000.00,US,100,US,S,Data Analysis
173,2021,SE,Senior-level,FT,Principal Data Scientist,235000,USD,235000.00,US,100,US,L,Data Analysis
174,2021,SE,Senior-level,FT,Research Scientist,51400,EUR,60757.00,PT,50,PT,L,Other
175,2021,SE,Senior-level,FT,Data Engineering Manager,174000,USD,174000.00,US,100,US,L,Automation-Focused
176,2021,MI,Mid-level,FT,Data Scientist,58000,MXN,2859.00,MX,0,MX,S,Data Analysis
177,2021,MI,Mid-level,FT,Data Scientist,30400000,CLP,40038.00,CL,100,CL,L,Data Analysis
178,2021,EN,Entry-level,FT,Machine Learning Engineer,81000,USD,81000.00,US,50,US,S,Automation-Focused
179,2021,MI,Mid-level,FT,Data Scientist,420000,INR,5679.00,IN,100,US,S,Data Analysis
180,2021,MI,Mid-level,FT,Big Data Engineer,1672000,INR,22611.00,IN,0,IN,L,Automation-Focused
181,2021,MI,Mid-level,FT,Data Scientist,76760,EUR,90734.00,DE,50,DE,L,Data Analysis
182,2021,MI,Mid-level,FT,Data Engineer,22000,EUR,26005.00,RO,0,US,L,Automation-Focused
183,2021,SE,Senior-level,FT,Finance Data Analyst,45000,GBP,61896.00,GB,50,GB,L,Data Analysis
184,2021,MI,Mid-level,FL,Machine Learning Scientist,12000,USD,12000.00,PK,50,PK,M,Other
185,2021,MI,Mid-level,FT,Data Engineer,4000,USD,4000.00,IR,100,IR,M,Automation-Focused
186,2021,SE,Senior-level,FT,Data Analytics Engineer,50000,USD,50000.00,VN,100,GB,M,Other
187,2021,EX,Executive-level,FT,Data Science Consultant,59000,EUR,69741.00,FR,100,ES,S,Other
188,2021,SE,Senior-level,FT,Data Engineer,65000,EUR,76833.00,RO,50,GB,S,Automation-Focused
189,2021,MI,Mid-level,FT,Machine Learning Engineer,74000,USD,74000.00,JP,50,JP,S,Automation-Focused
190,2021,SE,Senior-level,FT,Data Science Manager,152000,USD,152000.00,US,100,FR,L,Other
191,2021,EN,Entry-level,FT,Machine Learning Engineer,21844,USD,21844.00,CO,50,CO,M,Automation-Focused
192,2021,MI,Mid-level,FT,Big Data Engineer,18000,USD,18000.00,MD,0,MD,S,Automation-Focused
193,2021,SE,Senior-level,FT,Data Science Manager,174000,USD,174000.00,US,100,US,L,Other
194,2021,SE,Senior-level,FT,Research Scientist,120500,CAD,96113.00,CA,50,CA,L,Other
195,2021,MI,Mid-level,FT,Data Scientist,147000,USD,147000.00,US,50,US,L,Data Analysis
196,2021,EN,Entry-level,FT,BI Data Analyst,9272,USD,9272.00,KE,100,KE,S,Data Analysis
197,2021,SE,Senior-level,FT,Machine Learning Engineer,1799997,INR,24342.00,IN,100,IN,L,Automation-Focused
198,2021,SE,Senior-level,FT,Data Science Manager,4000000,INR,54094.00,IN,50,US,L,Other
199,2021,EN,Entry-level,FT,Data Science Consultant,90000,USD,90000.00,US,100,US,S,Other
200,2021,MI,Mid-level,FT,Data Scientist,52000,EUR,61467.00,DE,50,AT,M,Data Analysis
201,2021,SE,Senior-level,FT,Machine Learning Infrastructure Engineer,195000,USD,195000.00,US,100,US,M,Other
202,2021,MI,Mid-level,FT,Data Scientist,32000,EUR,37825.00,ES,100,ES,L,Data Analysis
203,2021,SE,Senior-level,FT,Research Scientist,50000,USD,50000.00,FR,100,US,S,Other
204,2021,MI,Mid-level,FT,Data Scientist,160000,USD,160000.00,US,100,US,L,Data Analysis
205,2021,MI,Mid-level,FT,Data Scientist,69600,BRL,12901.00,BR,0,BR,S,Data Analysis
206,2021,SE,Senior-level,FT,Machine Learning Engineer,200000,USD,200000.00,US,100,US,L,Automation-Focused
207,2021,SE,Senior-level,FT,Data Engineer,165000,USD,165000.00,US,0,US,M,Automation-Focused
208,2021,MI,Mid-level,FL,Data Engineer,20000,USD,20000.00,IT,0,US,L,Automation-Focused
209,2021,SE,Senior-level,FT,Data Analytics Manager,120000,USD,120000.00,US,0,US,L,Other
210,2021,MI,Mid-level,FT,Machine Learning Engineer,21000,EUR,24823.00,SI,50,SI,L,Automation-Focused
211,2021,MI,Mid-level,FT,Research Scientist,48000,EUR,56738.00,FR,50,FR,S,Other
212,2021,MI,Mid-level,FT,Data Engineer,48000,GBP,66022.00,HK,50,GB,S,Automation-Focused
213,2021,EN,Entry-level,FT,Big Data Engineer,435000,INR,5882.00,IN,0,CH,L,Automation-Focused
214,2021,EN,Entry-level,FT,Machine Learning Engineer,21000,EUR,24823.00,DE,50,DE,M,Automation-Focused
215,2021,SE,Senior-level,FT,Principal Data Engineer,185000,USD,185000.00,US,100,US,L,Automation-Focused
216,2021,EN,Entry-level,PT,Computer Vision Engineer,180000,DKK,28609.00,DK,50,DK,S,Other
217,2021,MI,Mid-level,FT,Data Scientist,76760,EUR,90734.00,DE,50,DE,L,Data Analysis
218,2021,MI,Mid-level,FT,Machine Learning Engineer,75000,EUR,88654.00,BE,100,BE,M,Automation-Focused
219,2021,SE,Senior-level,FT,Data Analytics Manager,140000,USD,140000.00,US,100,US,L,Other
220,2021,MI,Mid-level,FT,Machine Learning Engineer,180000,PLN,46597.00,PL,100,PL,L,Automation-Focused
221,2021,MI,Mid-level,FT,Data Scientist,85000,GBP,116914.00,GB,50,GB,L,Data Analysis
222,2021,MI,Mid-level,FT,Data Scientist,2500000,INR,33808.00,IN,0,IN,M,Data Analysis
223,2021,MI,Mid-level,FT,Data Scientist,40900,GBP,56256.00,GB,50,GB,L,Data Analysis
224,2021,SE,Senior-level,FT,Machine Learning Scientist,225000,USD,225000.00,US,100,CA,L,Other
225,2021,EX,Executive-level,CT,Principal Data Scientist,416000,USD,416000.00,US,100,US,S,Data Analysis
226,2021,SE,Senior-level,FT,Data Scientist,110000,CAD,87738.00,CA,100,CA,S,Data Analysis
227,2021,MI,Mid-level,FT,Data Scientist,75000,EUR,88654.00,DE,50,DE,L,Data Analysis
228,2021,SE,Senior-level,FT,Data Scientist,135000,USD,135000.00,US,0,US,L,Data Analysis
229,2021,SE,Senior-level,FT,Data Analyst,90000,CAD,71786.00,CA,100,CA,M,Data Analysis
230,2021,EN,Entry-level,FT,Big Data Engineer,1200000,INR,16228.00,IN,100,IN,L,Automation-Focused
231,2021,SE,Senior-level,FT,ML Engineer,256000,USD,256000.00,US,100,US,S,Automation-Focused
232,2021,SE,Senior-level,FT,Director of Data Engineering,200000,USD,200000.00,US,100,US,L,Automation-Focused
233,2021,SE,Senior-level,FT,Data Analyst,200000,USD,200000.00,US,100,US,L,Data Analysis
234,2021,MI,Mid-level,FT,Data Architect,180000,USD,180000.00,US,100,US,L,Other
235,2021,MI,Mid-level,FT,Head of Data Science,110000,USD,110000.00,US,0,US,S,Other
236,2021,MI,Mid-level,FT,Research Scientist,80000,CAD,63810.00,CA,100,CA,M,Other
237,2021,MI,Mid-level,FT,Data Scientist,39600,EUR,46809.00,ES,100,ES,M,Data Analysis
238,2021,EN,Entry-level,FT,Data Scientist,4000,USD,4000.00,VN,0,VN,M,Data Analysis
239,2021,EN,Entry-level,FT,Data Engineer,1600000,INR,21637.00,IN,50,IN,M,Automation-Focused
240,2021,SE,Senior-level,FT,Data Scientist,130000,CAD,103691.00,CA,100,CA,L,Data Analysis
241,2021,MI,Mid-level,FT,Data Analyst,80000,USD,80000.00,US,100,US,L,Data Analysis
242,2021,MI,Mid-level,FT,Data Engineer,110000,USD,110000.00,US,100,US,L,Automation-Focused
243,2021,SE,Senior-level,FT,Data Scientist,165000,USD,165000.00,US,100,US,L,Data Analysis
244,2021,EN,Entry-level,FT,AI Scientist,1335000,INR,18053.00,IN,100,AS,S,Other
245,2021,MI,Mid-level,FT,Data Engineer,52500,GBP,72212.00,GB,50,GB,L,Automation-Focused
246,2021,EN,Entry-level,FT,Data Scientist,31000,EUR,36643.00,FR,50,FR,L,Data Analysis
247,2021,MI,Mid-level,FT,Data Engineer,108000,TRY,12103.00,TR,0,TR,M,Automation-Focused
248,2021,SE,Senior-level,FT,Data Engineer,70000,GBP,96282.00,GB,50,GB,L,Automation-Focused
249,2021,SE,Senior-level,FT,Principal Data Analyst,170000,USD,170000.00,US,100,US,M,Data Analysis
250,2021,MI,Mid-level,FT,Data Scientist,115000,USD,115000.00,US,50,US,L,Data Analysis
251,2021,EN,Entry-level,FT,Data Scientist,90000,USD,90000.00,US,100,US,S,Data Analysis
252,2021,EX,Executive-level,FT,Principal Data Engineer,600000,USD,600000.00,US,100,US,L,Automation-Focused
253,2021,EN,Entry-level,FT,Data Scientist,2100000,INR,28399.00,IN,100,IN,M,Data Analysis
254,2021,MI,Mid-level,FT,Data Analyst,93000,USD,93000.00,US,100,US,L,Data Analysis
255,2021,SE,Senior-level,FT,Big Data Architect,125000,CAD,99703.00,CA,50,CA,M,Other
256,2021,MI,Mid-level,FT,Data Engineer,200000,USD,200000.00,US,100,US,L,Automation-Focused
257,2021,SE,Senior-level,FT,Principal Data Scientist,147000,EUR,173762.00,DE,100,DE,M,Data Analysis
258,2021,SE,Senior-level,FT,Machine Learning Engineer,185000,USD,185000.00,US,50,US,L,Automation-Focused
259,2021,EX,Executive-level,FT,Director of Data Science,120000,EUR,141846.00,DE,0,DE,L,Other
260,2021,MI,Mid-level,FT,Data Scientist,130000,USD,130000.00,US,50,US,L,Data Analysis
261,2021,SE,Senior-level,FT,Data Analyst,54000,EUR,63831.00,DE,50,DE,L,Data Analysis
262,2021,MI,Mid-level,FT,Data Scientist,1250000,INR,16904.00,IN,100,IN,S,Data Analysis
263,2021,SE,Senior-level,FT,Machine Learning Engineer,4900000,INR,66265.00,IN,0,IN,L,Automation-Focused
